Country,Story,Themes,Cluster,Title
United States,"In college, I was at a science fair with a group from my class. I was standing by our poster with a guy from my group. We were going to be discussing the material and answering questions from anyone who was interested. It was mostly me answering the questions, so we just needed two people at the poster. The head of one of the prestigious schools at the university came over to ask some questions. Any time I would answer one, he would turn and ask the exact same question to my partner. He seemed amazed at the answers, the same ones I had just given him. He GRILLED us for a solid 15 minutes, and I was the only one with answers to his questions, but he only seemed to hear the answers when spoken by my male partner.",['Education'],1,"to his questions, but he only seemed"
United States,"I applied for a joint mortgage with my husband. During the process of checking our current credit and commitments, we had a follow-up lender asking if Mr. N was planning to upgrade his car within the next year. I was a bit confused; my husband doesn't have a car. I realized that because there's one car between the two of us, the assumption was that it belongs to the man!","['Domestic', 'Public Space']",3,was a bit confused; my husband doesn't
United States,"In college, I was an engineering student and one of two women in my whole circuit's class. My professor called the girls up to the front of the room and auctioned us off, basically. He made the men compete to have us as lab partners 'because women are more organized and they'll write better reports.' I was LIVID. The other girl and I turned to each other and said, 'We choose each other as partners actually.'",['Education'],2,I was an engineering student and one
United States,"I worked for an ice cream shop that had a couple of steady employees. Four of us make ice cream cakes. The two men didn't like making the cakes but would if they had to. When the female employee left, I got saddled with cake decorating because, as a woman, it's something I should be good at, according to my boss. I wasn't good at it because I was a woman; I was good at it because I had studied cake decorating alongside my mother when I was growing up because she decorated cakes for 15+ years. I also cared about the quality of the cakes I put out. My boss especially did not care. I had to take a week off work suddenly due to medical issues, so my boss was stuck making the cakes. When I returned, I was told by several younger employees that a lot of the customers complained about the cake quality and asked where the normal cake decorator was.","['Workplace', 'Healthcare']",0,was good at it because I had
Russia,"I grew up in Russia, where traditional gender roles are deeply ingrained. When I started dating, I realized how pervasive these expectations were. Men would act like gentlemenopening doors, paying for mealsbut it always came with an unspoken expectation: I had to know my place as a woman. One boyfriend told me outright that I should focus on household chores and let him make the decisions. Even when I earned more money than my partner, it made him uncomfortable, as if I were emasculating him. These experiences made me question why women are still expected to conform to outdated norms.","['Identity', 'Cultural']",2,"When I started dating, I realized how"
Russia,"In the rural part of Russia where I grew up, many women are financially dependent on their husbands. My neighbor stayed with her abusive husband because she had no other choicehe was the sole provider. Watching her endure years of mistreatment broke my heart, but she explained that leaving wasnt an option. Where would I go? she asked me once. Who would take care of my children? Her story is not unique; countless women in rural areas face similar struggles. Its a stark reminder of how economic inequality traps women in abusive relationships and perpetuates cycles of suffering.","['Domestic', 'Healthcare']",2,My neighbor stayed with her abusive husband
Unspecified,"As a survivor of sexual assault, I never reported my experience because I grew up in a culture that taught me to blame myself. From a young age, I was told to dress modestly and avoid being alone with men because boys will be boys. When it happened, I felt ashamed and convinced that no one would believe me if I spoke up. The media constantly portrayed victims as complicit in their own assaults, and even friends suggested that I must have done something to provoke it. It took years of therapy to unlearn this internalized shame and reclaim my voice.","['Education', 'Cultural']",0,I never reported my experience because I
Unspecified,"Im a female writer, but for years, I found myself defaulting to male protagonists in nearly all my stories. It wasnt intentionalI just felt like male characters were more neutral or relatable. Meanwhile, my female characters often came across as shallow or one-dimensional, which frustrated me. Why was it so hard for me to write complex women? It dawned on me that decades of consuming media where women were sidelined or objectified had shaped my subconscious biases. Now, I make a conscious effort to center womens voices in my work and challenge the stereotypes I once internalized.",['Workplace'],2,or objectified had shaped my subconscious biases
Georgia,"As a mother working at the UN Women Country Office in Georgia, I became frustrated with the books available for my children. Every story reinforced harmful stereotypes: girls were always princesses waiting for rescue, while boys were brave adventurers solving problems on their own. One day, while chatting with other mothers at work, we decided to create our own storiesones where girls built robots and boys expressed their emotions freely without ridicule. It was empowering to take matters into our own hands and challenge these outdated narratives. Change starts young, and we wanted better role models for our kids.","['Domestic', 'Workplace']",2,It was empowering to take matters into
United States,"Ive worked hard to build my career in tech, but being a woman in this industry has been exhausting at times. During one interview for a leadership position, a male candidate told me outright: The only reason anyone listens to you is because youre attractive. When I reported his comment to HR, they dismissed it as harmless banter until a female colleague backed me up. On another occasion, a client refused to acknowledge my technical expertise and directed all his questions to my male coworker insteadeven though I was leading the project! These microaggressions remind me how far we still have to go.","['Workplace', 'Identity']",2,I was leading the project
South Asia,"Growing up in South Asia, my parents always prioritized my brothers education over mine. While he attended private school and received tutoring for his exams, I was expected to help around the house after school instead of studying. My mother used to say, Why waste money on your education? Youll get married soon anyway. But I loved learning and secretly borrowed books from neighbors to teach myself at night. Eventually, I won a scholarship to attend university abroada decision that shocked my family but changed my life forever. Now, I advocate for girls education so others dont face the same barriers.","['Education', 'Domestic']",4,"My mother used to say, Why waste"
Unspecified,My father endured years of abuse from my mothera reality that no one wanted to acknowledge because he was a man. Society taught him that men couldnt be victims and that speaking out would make him seem weak or unmanly. He stayed in the marriage because he believed no one would take him seriously if he left or sought help. Watching him suffer silently made me realize how damaging gender stereotypes can be for everyonenot just women but also men who are trapped by expectations of strength and stoicism.,"['Domestic', 'Cultural']",2,My father endured years of abuse from
Global,"As an aspiring science fiction writer who identifies as non-binary, Ive faced countless rejections from publishers who claim that women dont write hard sci-fi. To test whether gender bias was at play, I submitted the same manuscript under a male pseudonymand suddenly received multiple offers from publishers who had previously turned me down! It was infuriating but also eye-opening: even in creative fields where imagination should reign supreme, outdated stereotypes about gender persist. Now, Im determined to carve out space for marginalized voices in speculative fiction.","['Identity', 'Public Space']",2,To test whether gender bias was at
Saudi Arabia,"Growing up in Saudi Arabia, I never imagined that women would one day have the right to vote or run for officebut when those changes finally came in 2015, I knew I had to act. Running for local council elections was one of the most challenging experiences of my life; conservative groups harassed me online and accused me of undermining family values by stepping into politics as a woman. Although I didnt win a seat, participating in the election inspired other young women in my community to believe they could challenge societal norms too.","['Cultural', 'Identity']",2,"Although I didnt win a seat, participating"
India,"While nature has made men and women physically different, gender inequality at an insane level has been encouraged by the society. I live in India. Here, how unfortunate it is to be female will be declared to you the moment you are able to understand things.

I may have been 6 or 7 when I first witnessed that my elder brothers needs were more important not because the need was really important but because he was a boy. And being a boy in India will keep you closer to all kinds of honours. Being a boy in India will also help you escape from sins you commit.

Wondering why? The structure and working of the Indian society is such that the males will oppress you if you are a female but the females too will oppress you. Without realizing how naturally we have adopted gender inequalities, we keep oppressing the females, based on gender and sex.

My story will reveal to you the most mundane thing. I perform the household chores and work at office too. My salary is good. I contribute 80% of my salary at home. My brother (7 years elder to me) does not work at all, neither at home nor at office. Yet he enjoys a higher say in everything.

Sadly, at my place, it is believed that girls should eat less because they learn to adjust from the beginning. Boys are fed more than necessary. What bothers me a lot is that I care more for my parents but I never felt them reciprocate the same to me.

I have given up hopes that gender equality will ever come to real life. Being implemented in writing is one thing but seeing the change for real is what matters.","['Workplace', 'Domestic']",0,I have given up hopes that gender
India,"In India, after the 10th grade exams, you have to choose a stream for the remaining 2 years of high school - science, finance or humanities. Many of my fellow female students were asked Why bother taking science when you would soon be married off and producing babies? by our teachers.",['Education'],4,by our teachers
India,"In India, we lived in a small company-provided housing complex. We had a library which was horribly mismanaged. The elected library manager (not the one doing actual work) was my dads boss boss. My mom decided to run for election of against him. My dad was called into his office and told to convince my mom not to run. My dad said (paraphrasing) Grow a set of balls and tell her yourself. My mom won the election in a landslide.",['Workplace'],0,My dad said (paraphrasing) Grow a set
United States,"The point made in another answer about hiring women because they work harder for less money hit home. I had a boss early in my career (late 1960s) who said almost exactly that to the three of us women (computer programmers, back when these were rare creatures) who worked for him. I hire women because theyll work twice as hard for half the money. I took that as a cue to ask for a greater increase in pay the next time we got a pay raise, and was told: What do you want more money for? Your husband makes good money.

My high school advised me to drop mathematics after intermediate algebra because you wont need it anyway. (I spent the last 13 years of my working life as an academic in a Faculty of Mathematics, though strictly speaking Im a computer scientist.)

I wanted to study at Cal Tech. They did not accept female undergraduates.

And at the University of California (Berkeley), I was told by my academic adviser that I need not take 16 units per semester, 12 would do, as: Anyway, youre only here to find a husband and youll be leaving as soon as you do, so whats your rush? I was also told by the same adviser that Youre taking up the place of some poor guy whos now sitting getting shot at out in Vietnam. You dont belong here.

When I applied to UCLA to study for a masters degree, I was turned down on the grounds: We dont accept married women, because they get pregnant and never finish their degrees. If youre still around after youve done a masters elsewhere, come back and we might consider you for a PhD.

In my first job (same one with the boss mentioned above), having lunch with some clients, one of them asked me: So what do you want to be when you grow up?

When I worked for a Middle Eastern oil company (Iraq Petroleum) as programmer, a man came to London from Baghdad to learn how a new system operated. He sat in the room with me and a male colleague of mine. (I had designed and programmed the system.) The Iraqi would address a question to me through my male colleague. (Ask her to explain ) I would answer the question. My male colleague then had to repeat my answer word for word, as though I wasnt sitting right there in the room with the two of them.

At about the age of six I remember overhearing a neighbour say to my mother: Its a good thing your daughters smart. Shell never make it on her looks.

Sadly, there are more. Lots more. But I wouldnt want to bore anyone.","['Workplace', 'Education']",2,by my academic adviser that I need
United States,"Talking of gender inequality, like most women, I face it on a daily basis, pretty much everywhere in India.

In the immediate family:

My father wanted a boy and though he accepted me, I know he still wished for a boy. He would occasionally catch himself saying, If I had a boy, I could have blah, blag etc.

In preschool:

Even when as young as 4 years, I remember crying myself to sleep one night because a nanny at my school decided that 4 years was a great time to tell me that I would one day have to leave my parents and go to somebody else's house when I got married. This was her way trying correct my irresponsible behavior and remainding me that I was a girl. On the other hand, boys who did stuff much more irresponsible by common standards, were lauded as cute, naughty, smart etc.

As a child in the extended family:

I was expected to help my mother in the kitchen from the time I remember while my male cousins got to play video games the whole day. Of course, I was given a few opportunities to play, where they would act like superior games whose hard earned points were lost everytime I made a mistake. Funny thing is, this was often attributed to girls being bad at gaming"" whereas in reality it was the obvious reflection of the amount of time I had put in the kitchen while they played.

Whenever any even slightly mechanical stuff was explained to us as kids, I got sidelined, coz, hey, girls are too dumb to understand, right? This, again, was funny, considering that I was the only kid who could fix toy cars, small torches etc. in the group.

Anyways, when I was 7 years old, I was fortunate enough to get a chance to study abroad and that was my only break from gender discrimination.

At church:

I am Christian and enrolled for Sunday school in my church, and one day a teacher called me aside to tell me that the male teachers told her to talk to me coz my dress was too short"". Funny thing is I, a 13 year old, was wearing a frock with a three-fourth pants underneath it. At most, what was revealed of my legs would be, at most, 3 inches from my foot. Needless to say, I was offended. I lost the respect I had for the male teachers there. I knew they shouldn't be looking at my legs.

As a teen in the extended family:

I was expected to spent my whole day in the kitchen to get a good girl"" tag. It was repetitive and tiring. Whenever I refused, I was told, One day you will get married! What will you do then??. I never heard anyone bother boys my age with this sort of crappy threats. They were lucky simply because of their gender.

At high school:

I joined a catholic school and learnt that girls would be sent back to hostel from class if their dress was worn to distract boys"". I learnt that in schools, distraction free environment for boys was more important than girls education. There were a lot of wierd rules like girls shouldn't laugh loudly since that would bring unwanted attention, girls shouldn't sit facing each other in the mess since then, half of them would be facing the boys on the other side and distract them"", girls shouldn't sit in the library since we all know girls go to library to trap boysyou name it. Girls were treated like they came from brothels. This was by far the worst case of sexism I've encountered.

At my Engineering college:

During my engineering studies, most of the sexism I encountered were limited to the labs and hostel rules, but it was much better than the experience at school. Once I designed a whole circuit as part of a group project but when we came to present it, the teaching assistant didn't let me speak a single word and totally ignored me. I was treated like a sidekick who didn't understand circuits, while the boys in my group got the credit for my work.

These are just a handful of instances and the answer is already long. If I were to write down every time I encountered discrimination on the basis of my gender, I could have published novels by now ;)","['Education', 'Domestic']",4,of the amount of time I had
United States,"Jeez, how long have you got? In my lifetime, I have experience of all of the following:

A (female!) calculus teacher who blatantly preferred the boys and ignored the girls in her class.
Girls were not allowed to take shop class in junior high school. I guess they were afraid the girls might menstruate on the band saw.
A manager who had a policy of hiring women because they would work harder for less money.
Female flight attendants who could be fired for getting married, getting pregnant, or turning 30. The airlines wanted them to be eye candy for the male passengers, and to create the impression that they were sexually available.
A university campus with so many rapes that it was necessary to create safety escorts for women walking around after dark.
Open discrimination against women by the US military and by NASA.
Banks that wont lend to single women because they assume that a womans income is not secure.
Female friends who have been groped and harassed on public transportation and other places.
The glass ceiling: women who can get equal pay as worker bees, but never get promoted to management.
This is just the tip of the iceberg. When I was born it was totally legal to pay women less for doing the same job, just because they were women.","['Workplace', 'Education']",2,I was born it was totally legal
India,"Do you know that most men in India are exempted from doing basic household chores like washing the plate in which they had food from? I went to my aunt's home where they have a girl and boy child. The girl child was asked to wash the plate after food while the men of the family left the plate on the table. Not only does this create problems to the future wife of unmarried men, it can create a cycle including the kids too. This is slowly changing among educsted men when both of them works.
The men of the family are not expected to cook. Many of them think cooking is a women's job hence it is embarrassing to help. This is greatly fuelled by mothers of such men who pamper the children expecting their daughter in law to do all the work. I know dozen men who do not get up from the sofa to help out. And you know what happens when the women is sick? The entire household suffer. The children cannot take lunch to schools. Cooking is an essential skill everyone should know. Do it even if you dont like it.
The men in the family eat first. This is not widely spread as the others. But I have always seen women distributing food for their family and when they sit down, they don't have anyone to do it for them.
Childcare. You don't know how much I envy the western world for their views on childcare. Here only the mom wakes up when the child is crying, mom teaches the children, mom make and pack food. Mom is expected to be motherly and give up her job. There is no such thing as going to your home for two days without a 3 year old child because the husband do not want full responsibility.
Drinking or smoking is taboo for women but ok for men. Although both of these habits are bad, if the men can have an occasional drink, why not women? Why are women expected to be perfect in this regard?
Men are not expected to be up by 7 AM to help out, but women are. Not only do women require more sleep, they need more rest because they take care of the household too. If a women is sleeping past 8, the women is irresponsible, but if it is a man, it is because he is tired. This is one problem I observed in my family and absolutely hate because I don't like getting up early on weekends.
A women is expected to be pure(virgin and no relationship) before marriage. Men are not expected to be so. This is slowly changing with the mindset change of new generation.
A women's family have to take care of wedding expenses. Dont get me started on dowry. Wedding is for both the sides. Both the families are attending. I dont understand why most grooms family do not offer to give half the expenses. The marriage ordeal is the main reason women are seen as burden in many families.
Education: A women need not study or pursue her dream because she might get married but men have more flexibility. Indian families mostly spend for their guy children's education more than girls. This is also slowly changing",['Domestic'],2,I know dozen men who do not
United States,"I work with many people from various African and Middle Eastern countries. Their perspectives of gender roles are quite different than mine. Most of them do not force their beliefs on me and other females, but enough of them do that its become a workplace issue.

Me and my female coworkers have been shamed numerous times by these crazies. On one occasion I was told to shut up and learn respect. My close colleague was told she shouldnt study IT because its a mans job. A Ukrainian colleague had to endure both sexist and racist remarks from one Pakistani guy who was a Putin fanboy. All of us have gotten harassed at least once. And the higher up the ladder you are, the more harassment you get. These men do not like working under women, (but theyve also proven to be incompetent for such positions anyways).

Reports of these sexist incidents usually get swept under the rug due to them not being considered urgent issues. Putin fanboy recently got terminated for it tho, so theres still some hope. Another good outcome is its brought the women at work closer together. Ive learned a lot about the world this past year lol.","['Workplace', 'Identity']",2,I was told to shut up and
Germany,"Japan is not treating women equal. We're stuck in the past here when it comes to many things (equal pay, how housework and care work is distributed). Women are expected to be pretty and thin and not too aggressive.

However: You are a foreigner. No one expects you to be the same as Japanese women (unless you are Asian, in which case things may be different). You get to bypass most of the bullshit.

You instead get to only experience the good sides of life as a woman here: There is basically no cat calling. I have never changed the side of the street because I saw a group of young men together. Sexual assault exists and is a problem, but I've never felt as safe in Berlin, Germany when growing up as I did in Tokyo. I've been out drinking late and went home on my own, without ever really worrying about my safety. Day to day I really prefer living here as a woman.","['Workplace', 'Public Space']",2,Day to day I really prefer living
Kenya,"Where I come from, police officers are some of the most highly respected people, and becoming one brought pride to my family. However, being a female police officer in Kenya can pose challenges. Kenyan culture is part of the African old patriarchal system where women are not placed in places of power. In most cases men will feel degraded if I arrest them. Sometimes they even use sexual advances, thinking thats what I need to get them off the hook. It is important that women are part of the police force because most people find women more understanding. Women have a unique way of policing that is generally based on communications.

I have been part of the Administration Police Headquarters for the last six years.

In my tenure as the Secretary of the Kenya Association of Women in Policing, I have gained an immense interest in cases relating to sexual or gender-based violence. I am currently running a network of middle and junior management-level police officers and we push for cases they are handling to reach successful prosecution.","['Workplace', 'Identity']",2,I am currently running a network of
Afghanistan,"Afghanistan - Farmers didnt think that I would be able to handle this business, because I am a woman and this is not a womans job.

When I started working to process and export saffron to international markets, the farmers and saffron producers didnt want to give me their saffron to process and export because they thought that as a woman, I was too weak to handle this business. With the help of my husband and male members of my family, I sat down with the saffron producers and I explained to them that I have good knowledge, some experience and the ability to run this business. I assured them that they would not suffer losses if they put their trust in me. After many discussions, a couple of saffron farmers agreed to work with me, to test whether I had the ability to handle this business.

Then, I had to convince women to work with me. In my village, women were not used to working outside the home. I talked to their husbands and other members of their families and explained to them the benefits of working outside the home. I told their husbands: your wives and daughters will earn money to boost the family income. And the place where your women would work are all full of women. After many, many conversations with each family, they agreed to work with me. Now most of them are businesswomen and they run their own companies.

Gaining visibility, however, brought with it death threats from the religious extremists because I was going out in the markets. Despite several challenges, I never gave up because I knew the only way to eliminate violence against women is to help women become economically independent and empowered. With this in mind, I worked hard and struggled to help women to learn, work and earn. And this worked.","['Domestic', 'Workplace']",2,I worked hard and struggled to help
United States,"Mali - I was 6 years old when I was cut. But for me, the most traumatic experience was seeing what my older sister went through. She wasn't as lucky as me. She suffered terrible injuries and almost died. The scars will remain with us for life. Where we live, more than 80 per cent of girls go under the knife.

Some 20 years ago, I decided I wanted to become a leader and educator and devote my energy to combating gender-based violence. My first battle was to save my own girls. I have four daughters, aged between 19 and 27, and not one has been cut. It wasn't easy for my husband, but he listened to my arguments. My first-hand experience and other testimonies convinced him.

We have a duty to act and to ensure that every girl is able to live a dignified and fulfilled life. I love my job. I have no shame or fear. My role is to save lives and to protect people's dignity. I've saved thousands of lives by asking women and men to sign agreements and to take formal oaths. In doing so, they agree not to engage in female genital mutilation themselves, and not to stand back and allow it to happen to others. On average, I secure at least 100 new signatures each month. I've also managed to persuade two leading cutters in Kita, which has one of the highest rates of FGM in Mali, to stop performing female genital mutilation.",['Identity'],1,My first-hand experience and other testimonies convinced
